window_ts,frontend_api__cpu,frontend_api__mem_mb,frontend_api__req_rate,frontend_api__err_rate,frontend_api__lat_p50,frontend_api__lat_p95,frontend_api__lat_p99,frontend_api__log_errors,orders_service__cpu,orders_service__mem_mb,orders_service__req_rate,orders_service__err_rate,orders_service__lat_p50,orders_service__lat_p95,orders_service__lat_p99,orders_service__log_errors,payments_service__cpu,payments_service__mem_mb,payments_service__req_rate,payments_service__err_rate,payments_service__lat_p50,payments_service__lat_p95,payments_service__lat_p99,payments_service__log_errors,label,fault_service,fault_type
1781967160,0.40255520069049466,84.5810546875,54.65026050327015,0.0,78.99952244508118,197.62747875354094,239.52549575070825,0.0,0.4081910690397953,84.0830078125,54.62809001219377,0.0,75.68551842330763,99.43873179091688,211.8969072164951,0.0,0.43903963781214483,76.3623046875,56.84513911983151,0.0,38.45744680851064,68.01047120418843,94.85863874345553,0.0,0,none,none
1781967180,0.4301251528477935,84.728515625,54.54585703849645,0.0,81.51609553478713,214.90347490347492,243.44401544401543,0.0,0.4360462012474512,84.4091796875,54.56799415580104,0.0,76.39867841409692,135.170807453416,227.0341614906831,0.0,0.4488702731002257,76.3408203125,53.94815487127266,0.0,38.77235213204952,76.03333333333326,97.69555555555553,0.0,0,none,none
1781967200,0.4382445044060447,84.7490234375,54.692700244064795,0.0,80.97853857945836,212.57716049382714,243.0092592592593,0.0,0.4395427143144816,84.400390625,54.692700244064795,0.0,76.19930222416049,118.88297872340424,223.77659574468092,0.0,0.4493591021717851,76.3046875,54.07144441979144,0.0,38.684510250569474,74.21361502347418,97.09624413145534,0.0,0,none,none
1781967220,0.4423818842599137,84.685546875,56.96918605940945,0.0,78.11111111111111,185.58528428093638,237.11705685618722,0.0,0.44265740018648736,84.6748046875,56.96918605940946,0.0,75.61025223759154,99.11716842961758,204.6823529411762,0.0,0.4541135842449555,76.3994140625,59.742218869933666,0.0,38.48069105691057,68.83413461538453,94.72836538461529,0.0,0,none,none
1781967240,0.4304756246509991,84.7763671875,59.12835503587562,0.0,78.8183807439825,195.43596730245224,239.0871934604904,0.0,0.4312383902479686,84.3701171875,59.12835503587562,0.0,75.84446190102122,99.44029850746269,211.85714285714266,0.0,0.45987259408989084,76.1494140625,59.615554965010176,0.0,38.66913885455295,73.20833333333331,95.64166666666668,0.0,0,none,none
1781967260,0.4293992668907086,85.0205078125,59.23066684413683,0.0003745318352059925,79.16666666666667,199.30379746835445,239.8607594936709,1.0,0.43500672334299795,84.4599609375,59.230666844136834,0.00037453183520599247,75.78369905956113,99.32405956112854,209.5454545454547,1.0,0.46628227022629976,76.2001953125,62.58041616753184,0.0,38.47906165180302,68.48173515981733,94.24429223744292,0.0,0,none,none
1781967280,0.43288135261329663,85.0908203125,61.51832460732985,0.00036062026685899744,78.80480607082632,195.91688654353564,239.8166226912929,1.0,0.4414262014699737,84.244140625,61.49613985269323,0.00036075036075036075,75.708269525268,99.5865237366003,214.4615384615386,1.0,0.4690107713921745,76.2060546875,59.743544236400744,0.0,38.32831325301204,63.483606557376966,92.91530054644804,0.0,0,none,none
1781967300,0.43520672889250134,85.177734375,61.410696489868236,0.0,78.51334445371143,192.09745762711856,239.09745762711862,1.0,0.4420712599434147,84.55859375,61.388550548112065,0.0,75.72685539403213,99.58684009181331,214.4615384615384,1.0,0.47070059684279725,76.5009765625,59.61687520761821,0.0,38.39249697458653,65.7291666666666,93.7708333333333,0.0,0,none,none
1781967320,0.4313308884820273,85.2138671875,61.51695986866916,0.0,78.14044481054366,186.5402476780184,238.0510835913312,0.0,0.43968673582388723,84.5576171875,61.51695986866916,0.0,75.83301779628928,99.4575918212798,212.18636363636358,0.0,0.46897595414036997,76.509765625,59.742218869933666,0.0,38.45802919708029,67.89024390243894,94.16341463414628,0.0,0,none,none
1781967340,0.39346299084612535,85.203125,41.01506177768905,0.0,110.45081967213113,471.5012330456226,494.3002466091245,0.0,0.41316971121302565,84.857421875,41.037244071781906,0.0,96.23217922606926,471.4506172839506,494.29012345679007,0.0,0.42430542663307835,76.32421875,39.839400190767726,0.0,47.82383419689119,468.5574229691877,493.71148459383755,0.0,0,none,none
